"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
17.470472,"ethnic_fairtreat","expo_2yr_10km_bin","EOSV_state",13505,15590.0067993809,15469.8337551213,8,"SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2"
35.188416,"ethnic_fairtreat","expo_2yr_10km_bin","no_int",26781,30549.5602128943,30361.0649098178,17,"GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
7.53472,"ethnic_fairtreat","expo_reb_2yr_10km_bin","EOSV_rebel",6621,7250.27604092059,7168.70002058149,4,"BDI/5;KEN/6;KEN/5;KEN/4"
8.72016,"ethnic_fairtreat","expo_reb_2yr_10km_bin","no_int",6621,7256.03780450247,7188.05778755322,4,"BDI/5;KEN/6;KEN/5;KEN/4"
17.761928,"ethnic_id","expo_2yr_10km_bin","EOSV_state",14037,14373.0849115719,14252.2936798994,8,"SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2"
36.632496,"ethnic_id","expo_2yr_10km_bin","no_int",29188,25367.3280703822,25176.8532726498,17,"GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
7.659984,"ethnic_id","expo_reb_2yr_10km_bin","EOSV_rebel",6864,4051.14653357298,3969.13798587897,4,"BDI/5;KEN/6;KEN/5;KEN/4"
8.840568,"ethnic_id","expo_reb_2yr_10km_bin","no_int",6864,4034.46639667373,3966.12594026206,4,"BDI/5;KEN/6;KEN/5;KEN/4"
24.274384,"ethnic_fairtreat","expo_5yr_10km_bin","EOSV_state",18884,20487.6861886668,20330.7647830335,12,"LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
58.17976,"ethnic_fairtreat","expo_5yr_10km_bin","no_int",42433,44074.1039747429,43779.8107989697,28,"LBR/4;GIN/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;TZA/3;TZA/2;UGA/5;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
7.53472,"ethnic_fairtreat","expo_reb_5yr_10km_bin","EOSV_rebel",6621,7255.17611614755,7173.60009580845,4,"BDI/5;KEN/6;KEN/5;KEN/4"
9.758944,"ethnic_fairtreat","expo_reb_5yr_10km_bin","no_int",7331,7907.36733978868,7831.46880046522,5,"DZA/6;BDI/5;KEN/6;KEN/5;KEN/4"
24.755704,"ethnic_id","expo_5yr_10km_bin","EOSV_state",19714,18877.6953206363,18719.9136341918,12,"LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
