"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","region_rounds"
23.816264,"ethnic_fairtreat","expo_1525_10km_bin","EOSV_state",11094,10874.0236499644,9959.7536873875,118
150.940312,"ethnic_fairtreat","expo_1525_10km_bin","no_int",37567,39103.5078111219,36227.5898182674,332
11.513744,"ethnic_fairtreat","expo_reb_1525_10km_bin","EOSV_rebel",6490,5856.74330802299,5314.50188324714,73
41.341832,"ethnic_fairtreat","expo_reb_1525_10km_bin","no_int",12395,11797.4258490753,10512.8924681822,168
24.471352,"ethnic_id","expo_1525_10km_bin","EOSV_state",11558,9559.28663220639,8639.89499259668,118
157.803136,"ethnic_id","expo_1525_10km_bin","no_int",39778,30478.1680445158,27582.9776989677,332
11.852408,"ethnic_id","expo_reb_1525_10km_bin","EOSV_rebel",6812,4593.93692380484,4047.82164046224,73
43.34876,"ethnic_id","expo_reb_1525_10km_bin","no_int",13453,10034.5124787648,8728.30188968829,169
30.02556,"ethnic_fairtreat","expo_1525_25km_bin","EOSV_state",12828,12541.6256044818,11415.258384799,144
238.993168,"ethnic_fairtreat","expo_1525_25km_bin","no_int",46888,49092.0941339311,44924.4680142487,471
14.933056,"ethnic_fairtreat","expo_reb_1525_25km_bin","EOSV_rebel",7795,7050.58609819272,6354.46232004353,93
61.642688,"ethnic_fairtreat","expo_reb_1525_25km_bin","no_int",17440,16701.5486911624,14923.0152224433,224
30.85168,"ethnic_id","expo_1525_25km_bin","EOSV_state",13338,11322.8239066516,10190.5696767896,144
250.460608,"ethnic_id","expo_1525_25km_bin","no_int",49608,39479.0935745559,35284.6256569017,471
15.372888,"ethnic_id","expo_reb_1525_25km_bin","EOSV_rebel",8158,5802.09230448646,5101.41687249871,93
64.551512,"ethnic_id","expo_reb_1525_25km_bin","no_int",18670,14015.8851618773,12213.9103174741,225
20.329768,"ethnic_fairtreat","expo_1525_5km_bin","EOSV_state",9790,10002.7194534861,9183.16014563626,107
115.07584,"ethnic_fairtreat","expo_1525_5km_bin","no_int",32228,34451.2478381281,32138.2047445125,271
9.353512,"ethnic_fairtreat","expo_reb_1525_5km_bin","EOSV_rebel",5586,5022.14797355125,4584.69873628191,59
33.45764,"ethnic_fairtreat","expo_reb_1525_5km_bin","no_int",10422,9893.80461279302,8878.57021982734,135
20.893712,"ethnic_id","expo_1525_5km_bin","EOSV_state",10216,8403.30969429056,7578.89470895135,107
120.095904,"ethnic_id","expo_1525_5km_bin","no_int",34147,26153.8557401251,23824.8490564241,271
9.609112,"ethnic_id","expo_reb_1525_5km_bin","EOSV_rebel",5858,3881.96718610369,3441.3799932961,59
34.963128,"ethnic_id","expo_reb_1525_5km_bin","no_int",11346,8433.77589725683,7399.31240141483,136
