"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
5.984208,"ethnic_fairtreat_ord","expo_2yr_10km_bin","EOSV_state",13505,36568.5307223982,36440.8468628723,8,"SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2"
13.069248,"ethnic_fairtreat_ord","expo_2yr_10km_bin","no_int",26781,74301.0758306577,74104.3850796214,17,"GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
2.509984,"ethnic_fairtreat_ord","expo_reb_2yr_10km_bin","EOSV_rebel",6621,18552.7773155692,18464.4032935352,4,"BDI/5;KEN/6;KEN/5;KEN/4"
2.701,"ethnic_fairtreat_ord","expo_reb_2yr_10km_bin","no_int",6621,18581.5692224422,18506.7912037981,4,"BDI/5;KEN/6;KEN/5;KEN/4"
5.40472,"ethnic_id_ord","expo_2yr_10km_bin","EOSV_state",11636,34395.633512785,34277.8437684712,7,"SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4"
10.911104,"ethnic_id_ord","expo_2yr_10km_bin","no_int",22140,67688.9663309857,67528.8635068604,13,"GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/5;NGA/3;NGA/4;ZWE/4;ZWE/5;KEN/6;KEN/5;KEN/4"
2.565264,"ethnic_id_ord","expo_reb_2yr_10km_bin","EOSV_rebel",6864,20760.1469805976,20671.3043872624,4,"BDI/5;KEN/6;KEN/5;KEN/4"
2.751424,"ethnic_id_ord","expo_reb_2yr_10km_bin","no_int",6864,20758.5290326463,20683.3545305934,4,"BDI/5;KEN/6;KEN/5;KEN/4"
8.80472,"ethnic_fairtreat_ord","expo_5yr_10km_bin","EOSV_state",18884,50268.106389093,50103.338913178,12,"LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
24.163808,"ethnic_fairtreat_ord","expo_5yr_10km_bin","no_int",42433,114407.792208614,114104.843351201,28,"LBR/4;GIN/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;TZA/3;TZA/2;UGA/5;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
2.509984,"ethnic_fairtreat_ord","expo_reb_5yr_10km_bin","EOSV_rebel",6621,18562.0872489171,18473.7132268831,4,"BDI/5;KEN/6;KEN/5;KEN/4"
3.070912,"ethnic_fairtreat_ord","expo_reb_5yr_10km_bin","no_int",7331,20389.4802034543,20306.6817969196,5,"DZA/6;BDI/5;KEN/6;KEN/5;KEN/4"
7.75432,"ethnic_id_ord","expo_5yr_10km_bin","EOSV_state",16176,48016.3299841153,47870.1955892314,10,"LBR/4;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;BDI/5"
20.66184,"ethnic_id_ord","expo_5yr_10km_bin","no_int",37426,112993.026170863,112737.122542992,23,"LBR/4;GIN/6;GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;ZWE/6;ZWE/4;ZWE/5;BDI/5;TZA/3;UGA/5;KEN/6;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
2.565264,"ethnic_id_ord","expo_reb_5yr_10km_bin","EOSV_rebel",6864,20748.2451273105,20659.4025339753,4,"BDI/5;KEN/6;KEN/5;KEN/4"
3.121808,"ethnic_id_ord","expo_reb_5yr_10km_bin","no_int",7567,22913.1980506757,22830.0194270754,5,"DZA/6;BDI/5;KEN/6;KEN/5;KEN/4"
16.470928,"ethnic_fairtreat_ord","expo_10km_bin","EOSV_state",30213,78210.5344111993,77952.7375563955,22,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
